Team,Conference,count
BYU,Independent,2
Duke,Atlantic Coast Conference,2
Kent State,Mid-American Conference,2
Memphis,Conference USA,2
Syracuse,Atlantic Coast Conference,2
Texas State,Sun Belt Conference,2
Tulane,American Athletic Conference,2
Arizona,Pacific-12 Conference,1
Boise State,Mountain West Conference,1
Boston College,Atlantic Coast Conference,1
Central Michigan,Mid-American Conference,1
Colorado,Pac-12 Conference,1
Connecticut,American Athletic Conference,1
Florida Atlantic,Conference USA,1
Georgia Southern,Sun Belt Conference,1
Kansas,Big 12 Conference,1
Louisiana,Sun Belt Conference,1
Maryland,Big Ten Conference,1
Middle Tennessee State,Conference USA,1
Navy,American Athletic Conference,1
Nevada,Mountain West Conference,1
North Carolina State,Atlantic Coast Conference,1
Northern Illinois,Mid-American Conference,1
Oklahoma State,Big 12 Conference,1
Old Dominion,Sun Belt Conference,1
Ole Miss,Southeastern Conference,1
Oregon State,Pacific-12 Conference,1
Penn State,Big Ten Conference,1
Rice,Conference USA,1
Rutgers,Big East Conference,1
San Jose State,Western Athletic Conference,1
South Florida,American Athletic Conference,1
Tennessee,Southeastern Conference,1
UAB,Conference USA,1
Vanderbilt,Southeastern Conference,1
Virginia,Atlantic Coast Conference,1
Wake Forest,Atlantic Coast Conference,1
Western Michigan,Mid-American Conference,1
Wyoming,Mountain West Conference,1
